,strategy_return,benchmark_return,strategy_cumulative,benchmark_cumulative
2024-06-07,-0.0019475400962301603,-0.011727473955327583,1.011686292282557,1.0590443713071296
2024-06-10,0.0037383143580826117,0.0019727788262565438,1.0154682936748722,1.0611336316189104
2024-06-11,-0.002101463877795917,0.004279392895866263,1.0133343237366674,1.0656746393436252
2024-06-12,-0.004397233566807823,0.003482567451921048,1.008878456033934,1.069385923156941
2024-06-13,-0.0052519413441039775,0.003056566076575923,1.0035798855595135,1.0726545718924303
2024-06-14,0.0021098850742301556,0.006617091822341714,1.0056973237808533,1.079752425688297
2024-06-17,0.0018045203418997659,-0.0023224866738994487,1.00751212505941,1.0772447150685254
2024-06-18,-0.0025505678305581814,0.003823737648944281,1.004942397044336,1.081363816242659
2024-06-20,-0.003172877663329382,0.0018095638770521394,1.0017538377598214,1.083320613142483
2024-06-21,0.002982455764728331,-0.0036472497722189745,1.004741524268087,1.079369472282959
2024-06-24,-0.001976402234458635,0.00034501968462644084,1.0027557508744702,1.0797418759978814
2024-06-25,0.0014952765568087834,0.0004330462726523099,1.004255148040958,1.080209454192709
2024-06-26,0.004987308122179485,-0.0043594970277267275,1.0092636778975232,1.0755002842878336
2024-06-27,-0.0030575401273961744,0.00384365950523885,1.006177813703228,1.0796341411784236
2024-06-28,0.003645758049399095,-0.005617315299310366,1.0098460945666634,1.073569495799524
2024-07-01,-0.008758781319912059,-0.003041357628620761,1.0010010734575867,1.0703043870236197
2024-07-02,0.0006226862664879262,0.0032510019054868833,1.0016243830787686,1.0737839486252847
2024-07-03,0.0060004337355515636,0.006179771960299979,1.0076345638173454,1.0804196885624195
2024-07-05,0.004851306309601705,0.006061235617458999,1.0125229077345652,1.086968366860538
2024-07-08,-0.0033341780520092235,-0.0018186630776502455,1.0091469760784402,1.084991537625155
2024-07-09,-0.0011994004323955254,-0.00016098991744806224,1.007936604758981,1.084816864927081
2024-07-10,-0.0005857371797597655,0.003991896366082909,1.0073462188147329,1.089147341428049
2024-07-11,0.010310578485550503,0.003385637044655221,1.0177325410659448,1.0928347990142755
2024-07-12,0.0002986854670018191,0.0015777139863562828,1.018036522985256,1.094558979761457
2024-07-15,-0.0032501496515260353,-0.000931568472244515,1.0147277519348346,1.093539323124899
2024-07-16,0.007040691898420659,0.010004543814923716,1.0218721373969848,1.104479685196444
